"wb_region","year","avg_unemployment_rate"
Middle East & North Africa,2020,11.4
Middle East & North Africa,2021,11.15
Europe & Central Asia,2013,11.01
Europe & Central Asia,2012,10.89
Middle East & North Africa,2002,10.73
Europe & Central Asia,2010,10.62
Europe & Central Asia,2011,10.54
Europe & Central Asia,2014,10.54
Middle East & North Africa,2017,10.52
Middle East & North Africa,2003,10.47
Middle East & North Africa,2018,10.46
Middle East & North Africa,2001,10.42
Middle East & North Africa,2022,10.42
Europe & Central Asia,2000,10.36
Latin America & Caribbean,2020,10.35
Middle East & North Africa,2019,10.35
Middle East & North Africa,2016,10.15
Europe & Central Asia,2004,10.07
Middle East & North Africa,2015,10.07
Europe & Central Asia,2003,10.05
Middle East & North Africa,2004,10.03
Europe & Central Asia,2001,10.02
Europe & Central Asia,2015,10.01
Europe & Central Asia,2002,9.99
Middle East & North Africa,2000,9.87
Europe & Central Asia,2009,9.84
Europe & Central Asia,2005,9.79
Middle East & North Africa,2005,9.72
Middle East & North Africa,2012,9.67
Latin America & Caribbean,2002,9.64
Latin America & Caribbean,2003,9.62
Middle East & North Africa,2013,9.6
Middle East & North Africa,2014,9.58
Middle East & North Africa,2023,9.41
Middle East & North Africa,2024,9.36
Middle East & North Africa,2006,9.35
Middle East & North Africa,2025,9.31
Middle East & North Africa,2011,9.29
Europe & Central Asia,2016,9.28
Latin America & Caribbean,2021,9.24
Latin America & Caribbean,2000,9.22
Latin America & Caribbean,2001,9.17
Middle East & North Africa,2007,9.15
Middle East & North Africa,2008,9.14
Middle East & North Africa,2010,9.13
Latin America & Caribbean,2004,9.09
Middle East & North Africa,2009,9.06
Sub-Saharan Africa,2021,9.05
Europe & Central Asia,2006,9.0
North America,2010,8.91
North America,2009,8.86
North America,2020,8.86
Sub-Saharan Africa,2020,8.85
Sub-Saharan Africa,2003,8.67
Sub-Saharan Africa,2002,8.64
Latin America & Caribbean,2005,8.58
Sub-Saharan Africa,2001,8.56
Sub-Saharan Africa,2004,8.56
Sub-Saharan Africa,2005,8.51
Sub-Saharan Africa,2000,8.48
Sub-Saharan Africa,2022,8.46
Latin America & Caribbean,2009,8.44
Sub-Saharan Africa,2010,8.39
Sub-Saharan Africa,2006,8.38
Europe & Central Asia,2017,8.36
North America,2011,8.29
Sub-Saharan Africa,2007,8.29
Sub-Saharan Africa,2011,8.29
Sub-Saharan Africa,2009,8.28
Sub-Saharan Africa,2023,8.24
Latin America & Caribbean,2010,8.22
Sub-Saharan Africa,2008,8.19
Sub-Saharan Africa,2025,8.16
Sub-Saharan Africa,2024,8.14
Latin America & Caribbean,2011,8.11
Latin America & Caribbean,2013,8.1
Sub-Saharan Africa,2012,8.1
Sub-Saharan Africa,2019,8.04
Europe & Central Asia,2007,8.03
Sub-Saharan Africa,2015,8.02
Sub-Saharan Africa,2017,8.01
Latin America & Caribbean,2014,8.0
Sub-Saharan Africa,2016,8.0
Latin America & Caribbean,2016,7.96
Sub-Saharan Africa,2013,7.96
Latin America & Caribbean,2006,7.95
Sub-Saharan Africa,2018,7.94
Latin America & Caribbean,2012,7.93
Sub-Saharan Africa,2014,7.92
Europe & Central Asia,2008,7.87
Latin America & Caribbean,2019,7.84
Latin America & Caribbean,2018,7.82
Latin America & Caribbean,2015,7.81
North America,2012,7.73
Latin America & Caribbean,2017,7.71
Latin America & Caribbean,2022,7.67
Europe & Central Asia,2020,7.63
Europe & Central Asia,2018,7.56
Latin America & Caribbean,2007,7.51
South Asia,2009,7.45
Europe & Central Asia,2021,7.43
Latin America & Caribbean,2008,7.4
North America,2013,7.26
South Asia,2020,7.04
Europe & Central Asia,2019,7.02
South Asia,2008,7.02
Latin America & Caribbean,2023,6.97
Latin America & Caribbean,2024,6.92
South Asia,2007,6.89
Latin America & Caribbean,2025,6.8
North America,2003,6.78
South Asia,2010,6.76
South Asia,2005,6.75
North America,2002,6.72
South Asia,2006,6.62
North America,2014,6.6
South Asia,2004,6.6
South Asia,2011,6.56
South Asia,2021,6.48
Europe & Central Asia,2022,6.44
North America,2021,6.44
North America,2004,6.36
South Asia,2013,6.35
Europe & Central Asia,2025,6.29
South Asia,2003,6.29
Europe & Central Asia,2023,6.24
South Asia,2012,6.24
Europe & Central Asia,2024,6.22
South Asia,2002,6.16
South Asia,2014,6.16
North America,2015,6.11
South Asia,2015,6.04
North America,2008,6.03
North America,2001,5.97
North America,2016,5.95
North America,2005,5.92
South Asia,2016,5.9
South Asia,2018,5.89
South Asia,2017,5.85
South Asia,2022,5.81
South Asia,2001,5.76
South Asia,2019,5.57
North America,2006,5.55
North America,2025,5.55
South Asia,2000,5.46
North America,2000,5.41
North America,2007,5.39
North America,2017,5.39
East Asia & Pacific,2002,5.24
East Asia & Pacific,2000,5.22
East Asia & Pacific,2001,5.2
East Asia & Pacific,2003,5.2
North America,2024,5.19
South Asia,2025,5.03
South Asia,2024,5.02
East Asia & Pacific,2004,4.94
South Asia,2023,4.94
North America,2018,4.87
East Asia & Pacific,2005,4.73
North America,2019,4.68
East Asia & Pacific,2009,4.58
East Asia & Pacific,2006,4.56
North America,2023,4.53
East Asia & Pacific,2020,4.47
North America,2022,4.46
East Asia & Pacific,2007,4.43
East Asia & Pacific,2011,4.39
East Asia & Pacific,2012,4.39
East Asia & Pacific,2013,4.37
East Asia & Pacific,2016,4.37
East Asia & Pacific,2010,4.36
East Asia & Pacific,2021,4.34
East Asia & Pacific,2008,4.31
East Asia & Pacific,2017,4.29
East Asia & Pacific,2015,4.27
East Asia & Pacific,2014,4.25
East Asia & Pacific,2018,4.08
East Asia & Pacific,2019,4.0
East Asia & Pacific,2022,3.81
East Asia & Pacific,2025,3.74
East Asia & Pacific,2024,3.69
East Asia & Pacific,2023,3.67
